date,x,y,z
2024-03-22 21:14:26.927464,6.64,-0.48,-6.96
2024-03-22 21:14:27.334157,7.71,0.32,-5.89
2024-03-22 21:14:28.342504,8.59,0.74,-4.61
2024-03-22 21:14:29.333043,9.16,0.9,-3.38
2024-03-22 21:14:30.315541,8.92,1.66,3.61
2024-03-22 21:14:31.306726,8.41,1.73,4.71
2024-03-22 21:14:32.302024,8.23,1.54,5.21
2024-03-22 21:14:33.288980,7.93,1.71,5.44
2024-03-22 21:14:34.295781,7.45,1.69,6.33
2024-03-22 21:14:35.272042,7.29,1.72,6.33
2024-03-22 21:14:36.257489,7.68,1.76,5.76
2024-03-22 21:14:37.564348,7.84,1.74,5.62
2024-03-22 21:14:38.296676,7.83,1.48,5.75
2024-03-22 21:14:39.558402,7.31,1.62,6.34
2024-03-22 21:14:40.271920,7.2,1.66,6.42
2024-03-22 21:14:41.306626,7.02,1.61,6.67
2024-03-22 21:14:42.318963,7.06,1.52,6.63
2024-03-22 21:14:43.257225,7.15,1.53,6.54
2024-03-22 21:14:44.279263,7.19,1.58,6.46
2024-03-22 21:14:45.499692,7.1,1.59,6.56
2024-03-22 21:14:46.263339,7.13,1.5,6.55
2024-03-22 21:14:47.454922,7.03,1.59,6.66
2024-03-22 21:14:48.467333,6.93,1.56,6.73
2024-03-22 21:14:49.320324,6.93,1.56,6.74
2024-03-22 21:14:50.449919,7.12,1.63,6.54
2024-03-22 21:14:51.294914,7.08,1.62,6.57
2024-03-22 21:14:52.297731,7.1,1.65,6.53
2024-03-22 21:14:53.433520,7.13,1.58,6.54
2024-03-22 21:14:54.256228,7.28,1.81,6.34
2024-03-22 21:14:55.398440,6.85,1.65,6.84
2024-03-22 21:14:56.388390,7.2,1.72,6.42
2024-03-22 21:14:57.251181,7.02,1.7,6.62
2024-03-22 21:14:58.370064,7.04,1.67,6.58
2024-03-22 21:14:59.251551,6.83,1.67,6.86
2024-03-22 21:15:00.308853,6.56,1.61,7.12
2024-03-22 21:15:01.345262,6.45,1.57,7.22
2024-03-22 21:15:02.338566,6.71,1.62,6.94
2024-03-22 21:15:03.319240,6.84,1.66,6.81
2024-03-22 21:15:04.309969,6.78,1.59,6.89
2024-03-22 21:15:05.300089,6.86,1.63,6.81
2024-03-22 21:15:06.289198,6.6,1.58,7.06
2024-03-22 21:15:07.258419,6.52,1.52,7.15
2024-03-22 21:15:08.281180,6.75,1.65,6.95
2024-03-22 21:15:09.262910,6.8,1.58,6.87
2024-03-22 21:15:10.260437,6.75,1.61,6.92
2024-03-22 21:15:11.277410,6.77,1.57,6.89
2024-03-22 21:15:12.562151,6.75,1.58,6.91
2024-03-22 21:15:13.354175,6.75,1.6,6.91
2024-03-22 21:15:14.337148,6.56,1.53,7.14
2024-03-22 21:15:15.265217,7.2,1.73,6.49
2024-03-22 21:15:16.272382,8.96,2.12,3.31
2024-03-22 21:15:17.519579,9.28,2.21,2.24
2024-03-22 21:15:18.262510,8.98,2.21,3.15
2024-03-22 21:15:19.314028,8.78,2.26,3.67
2024-03-22 21:15:20.481731,8.73,2.24,3.84
2024-03-22 21:15:21.253532,8.58,2.19,4.19
