date,x,y,z
2024-03-22 20:53:04.232157,4.66,-2.5,-8.11
2024-03-22 20:53:04.314764,8.8,-1.46,-4.0
2024-03-22 20:53:05.313091,9.68,-0.63,0.12
2024-03-22 20:53:06.313348,9.52,-1.08,0.19
2024-03-22 20:53:07.324889,9.63,-0.7,1.47
2024-03-22 20:53:08.392474,9.78,-0.23,0.59
2024-03-22 20:53:09.320785,9.46,-0.09,2.53
2024-03-22 20:53:10.311831,9.09,-0.14,3.55
2024-03-22 20:53:11.311096,8.93,0.04,4.11
2024-03-22 20:53:12.311718,9.31,0.17,3.16
2024-03-22 20:53:13.322979,9.63,0.09,1.98
2024-03-22 20:53:14.316985,9.73,0.02,1.11
2024-03-22 20:53:15.314869,9.68,-0.24,-0.82
2024-03-22 20:53:16.383166,9.3,-0.44,-2.77
2024-03-22 20:53:17.436459,8.54,-0.73,-4.57
2024-03-22 20:53:18.428795,7.96,-0.91,-5.46
2024-03-22 20:53:19.326647,8.44,-0.64,-4.66
2024-03-22 20:53:20.409824,9.26,-0.34,-2.92
2024-03-22 20:53:21.398623,9.66,-0.14,-1.18
2024-03-22 20:53:22.367986,9.68,-0.1,-1.0
2024-03-22 20:53:23.387653,9.8,0.21,1.21
2024-03-22 20:53:24.321430,8.98,0.45,4.03
2024-03-22 20:53:25.363733,8.63,0.33,4.41
2024-03-22 20:53:26.347319,9.43,0.19,2.46
2024-03-22 20:53:27.481603,9.3,0.13,3.04
2024-03-22 20:53:28.319914,9.06,0.18,3.7
2024-03-22 20:53:29.320441,9.08,0.24,3.67
2024-03-22 20:53:30.372664,9.07,0.25,3.67
2024-03-22 20:53:31.627943,9.3,0.22,3.0
2024-03-22 20:53:32.324363,9.69,0.12,1.13
2024-03-22 20:53:33.821661,9.53,-0.35,-1.91
2024-03-22 20:53:34.316465,9.13,-0.49,-3.35
2024-03-22 20:53:35.352706,8.56,-0.66,-4.53
2024-03-22 20:53:36.369547,8.53,-0.65,-4.58
2024-03-22 20:53:37.574475,9.01,-0.55,-3.46
2024-03-22 20:53:38.379786,9.37,-0.35,-2.55
2024-03-22 20:53:39.319565,9.68,0.03,1.35
2024-03-22 20:53:40.318767,8.63,0.58,3.98
2024-03-22 20:53:41.327004,8.84,0.14,4.3
2024-03-22 20:53:42.519757,8.74,0.07,4.36
2024-03-22 20:53:43.327967,9.09,0.01,3.55
