date,x,y,z
2024-03-26 15:48:40.185482,9.35,-1.02,-2.49
2024-03-26 15:48:41.254495,9.46,-0.97,-2.17
2024-03-26 15:48:42.069810,9.57,-0.87,-1.53
2024-03-26 15:48:43.120983,9.41,-1.09,-1.97
2024-03-26 15:48:44.228460,9.72,-0.92,0.07
2024-03-26 15:48:45.070741,9.43,-0.71,2.48
2024-03-26 15:48:46.143505,8.7,-0.82,4.38
2024-03-26 15:48:47.208212,8.66,-0.88,4.6
2024-03-26 15:48:48.088618,8.8,-0.88,4.24
2024-03-26 15:48:49.180692,9.58,-0.88,0.76
2024-03-26 15:48:50.172583,9.46,-0.99,-2.08
2024-03-26 15:48:51.078095,8.28,-1.26,-4.93
2024-03-26 15:48:52.146608,7.15,-1.44,-6.32
2024-03-26 15:48:53.070125,6.49,-1.59,-7.13
2024-03-26 15:48:54.127575,5.67,-1.56,-7.64
2024-03-26 15:48:55.107632,5.9,-1.54,-7.52
2024-03-26 15:48:56.074506,6.66,-1.38,-6.91
2024-03-26 15:48:57.096759,7.98,-1.19,-5.36
2024-03-26 15:48:58.084854,8.68,-1.14,-4.02
2024-03-26 15:48:59.075776,9.57,-0.91,-1.66
2024-03-26 15:49:00.217416,9.75,-0.77,-0.58
2024-03-26 15:49:01.191378,9.58,-0.57,1.71
2024-03-26 15:49:02.081929,9.13,-0.43,3.62
2024-03-26 15:49:03.429062,8.06,-0.47,5.58
2024-03-26 15:49:04.111189,7.71,-0.43,6.11
2024-03-26 15:49:05.339283,7.54,-0.43,6.32
2024-03-26 15:49:06.064605,7.46,-0.47,6.4
2024-03-26 15:49:07.099317,7.4,-0.51,6.42
2024-03-26 15:49:08.325720,7.55,-0.52,6.23
2024-03-26 15:49:09.072234,7.6,-0.51,6.21
2024-03-26 15:49:10.130667,7.59,-0.49,6.21
2024-03-26 15:49:11.287414,7.73,-0.5,6.06
2024-03-26 15:49:12.216702,8.31,-0.45,5.25
2024-03-26 15:49:13.079568,8.34,-0.44,5.15
2024-03-26 15:49:14.075636,8.41,-0.47,4.98
2024-03-26 15:49:15.115148,9.34,-0.4,3.02
