date,x,y,z
2024-03-27 20:37:41.232188,-0.09,-0.04,9.86
2024-03-27 20:37:42.296329,-0.1,-0.04,9.86
2024-03-27 20:37:43.236235,-0.1,-0.04,9.88
2024-03-27 20:37:44.236181,-0.11,-0.06,9.87
2024-03-27 20:37:45.240396,-0.11,-0.04,9.87
2024-03-27 20:37:46.244322,-0.1,-0.05,9.86
2024-03-27 20:37:47.251542,-0.1,-0.04,9.86
2024-03-27 20:37:48.323683,-0.09,-0.03,9.86
2024-03-27 20:37:49.236611,-0.1,-0.03,9.84
2024-03-27 20:37:50.238060,-0.1,-0.03,9.86
2024-03-27 20:37:51.238005,-0.11,-0.03,9.86
2024-03-27 20:37:52.239002,-0.09,-0.02,9.86
2024-03-27 20:37:53.231523,-0.09,-0.04,9.85
2024-03-27 20:37:54.234108,-0.1,-0.04,9.86
2024-03-27 20:37:55.238384,-0.1,-0.04,9.87
2024-03-27 20:37:56.246421,-0.1,-0.04,9.85
2024-03-27 20:37:57.230469,-0.1,-0.03,9.86
2024-03-27 20:37:58.239657,-0.09,-0.05,9.87
2024-03-27 20:37:59.231481,-0.1,-0.03,9.89
2024-03-27 20:38:00.241161,-0.09,-0.05,9.89
2024-03-27 20:38:01.260966,-0.1,-0.04,9.9
2024-03-27 20:38:02.242357,-0.11,-0.04,9.89
2024-03-27 20:38:03.244318,-0.09,-0.05,9.87
2024-03-27 20:38:04.246305,-0.1,-0.05,9.84
2024-03-27 20:38:05.238491,-0.11,-0.03,9.86
2024-03-27 20:38:06.236441,-0.11,-0.04,9.86
2024-03-27 20:38:07.239110,-0.11,-0.02,9.86
2024-03-27 20:38:08.238263,-0.11,-0.04,9.86
2024-03-27 20:38:09.252515,-0.1,-0.03,9.85
2024-03-27 20:38:10.436090,-0.1,-0.03,9.86
2024-03-27 20:38:11.239240,-0.1,-0.03,9.86
2024-03-27 20:38:12.253699,-0.1,-0.05,9.87
2024-03-27 20:38:13.249735,-0.1,-0.04,9.85
2024-03-27 20:38:14.252942,-0.1,-0.04,9.85
2024-03-27 20:38:15.396933,-0.11,-0.04,9.86
2024-03-27 20:38:16.258058,-0.11,-0.04,9.86
2024-03-27 20:38:17.308178,-0.1,-0.04,9.85
2024-03-27 20:38:18.249239,-0.09,-0.04,9.86
2024-03-27 20:38:19.238965,-0.1,-0.04,9.86
2024-03-27 20:38:20.271306,-0.08,-0.05,9.85
2024-03-27 20:38:21.239962,-0.1,-0.04,9.86
2024-03-27 20:38:22.244900,-0.1,-0.04,9.86
2024-03-27 20:38:23.281303,-0.1,-0.04,9.85
2024-03-27 20:38:24.233325,-0.1,-0.04,9.86
2024-03-27 20:38:25.395065,-0.09,-0.04,9.86
2024-03-27 20:38:26.238948,-0.11,-0.04,9.85
2024-03-27 20:38:27.240023,-0.09,-0.05,9.85
2024-03-27 20:38:28.256202,-0.09,-0.04,9.86
2024-03-27 20:38:29.239903,-0.08,-0.04,9.85
2024-03-27 20:38:30.239314,-0.12,-0.04,9.86
2024-03-27 20:38:31.556616,-0.09,-0.04,9.85
2024-03-27 20:38:32.244025,-0.1,-0.04,9.86
2024-03-27 20:38:33.400828,-0.1,-0.03,9.87
